index	start_time	end_time	korean	original	prompt
0	0.001		지금인 거 아냐?	今なんじゃない?	이마 난쟈나이?
1	1.757		이글이글 타오르며	メラメラとたぎれ	메라메라토 타기레
2	3.73		잠들어 있을 뿐인 정의	眠っているだけの正義	네뭇테이루 다케노 세이기
3	7.009	14.904	이런 나라도 너의 히어로가 되고 싶어	こんな僕も君のヒーローになりたいのさ	콘나 보쿠모 키미노 히로오니 나리타이노사
4	28.768		멋진 너에게 나로서는 의지할 수 없는 사람이 될 수 없는 걸까	かっこいい君には 僕じゃ頼りないのかなんて	캇코이이 키미니와 보쿠쟈 타요리나이노카 난테
5	35.701	42.679	그것도 그렇지, 지금도 이렇게 헤매고 있는걸	そりゃそうだよな だって今もこうして迷ってる	소랴 소오다요나 닷테 이마모 코오시테 마욧테루
6	44.566	49.665	손을 잡아주지 않을래? 기브 앤 테이크야	手を取ってくれないか ギブとテイクさ	테오 톳테 쿠레나이카 기부토 테이크사
7	51.67		네가 내 히어로였던 것처럼	君が僕のヒーローだったように	키미가 보쿠노 히로오닷타 요오니
8	55.908		지금인 거 아냐?	今なんじゃない?	이마 난쟈나이?
9	57.413		이글이글 타오르고 있어	メラメラとたぎる	메라메라토 타기루
10	59.339		이런 나에게도 숨어 있는 정의가	こんな僕にも潜む正義が	콘나 보쿠니모 히소무 세이기가
11	62.879		어쩔 수도 없는 충동에 사로잡혀서	どうしようもない衝動に駆られて	도오시요오모 나이 쇼오도오니 카라레테
12	66.234		봐, 정신 차리고 보면 손을 잡고 있잖아	ほら気付けば手を握っている	호라 키즈케바 테오 니깃테이루
13	69.82		도대체	いったいぜんたい	잇타이 젠타이
14	71.366		그렇게 짐을 짊어지고 어디를 가려는 거야	そんなに荷物を背負い込んでどこへ行くの	손나니 니모츠오 쇼오이콘데 도코에 유쿠노
15	76.588	84.698	기다려봐, 나한테 조금 맡겨보는 건 어때?	ねえねえ待って僕にちょっと預けてみては?	네에 네에 맛테 보쿠니 춋토 아즈케테 미테와?
16	98.299		오직 믿기만 할 뿐인 나와	信じてばかりの僕と	신지테 바카리노 보쿠토
17	101.884		믿는 것이 두려운 너와	信じることが怖い君と	신지루 코토가 코와이 키미토
18	105.279		어느쪽이 올바른지 따위는	どちらが正しいのかなんて	도치라가 타다시이노카 난테
19	108.701	112.27	아무도 모르는 거야	誰にも分からないさ	다레니모 와카라나이사
20	114.057	119.273	우리만의 세상, 기브 앤 테이크야	僕らだけの世界 ギブとテイクさ	보쿠라 다케노 세카이 기부토 테이크사
21	121.139	130.54	서로를 도와준 새벽에는 같은 꿈을 꾸고 싶어	補い合えた暁には同じ夢を見たい	오기나이아에타 아카츠키니와 오나지 유메오 미타이
22	141.166		너는 멋진 사람이라고 괴롭히며	君はかっこいいと苦しめて	키미와 캇코이이토 쿠루시메테
23	145.047		혼자 지내게 둔 건	ひとりぼっちにさせたのは	히토리봇치니 사세타노와
24	148.333		조금 정도는 내 탓일지도 몰라, 미안해	少し僕のせいなんだよな ごめんね	스코시 보쿠노 세이난다요나 고멘네
25	154.738		하지만 봐야 하는 건 리얼이야	だけど見るべきはリアルだ	다케도 미루베키와 리아루다
26	158.386		지금이야말로 내가 도와줄게	今こそ僕が救けるんだ	이마코소 보쿠가 타스케룬다
27	162.443	169.814	떠안으려 하지 말고, 날 믿고 의지해줬음 해	抱えないで信じて頼ってほしいんだ	카카에나이데 신지테 타욧테 호시인다
28	172.596		지금인 거 아냐?	今なんじゃない?	이마 난쟈나이?
29	173.949		이글이글 타오르고 있어	メラメラとたぎる	메라메라토 타기루
30	175.897		이런 나에게도 잠들어 있는 정의가	こんな僕にも眠る正義が	콘나 보쿠니모 네무루 세이기가
31	179.457		어쩔 수도 없는 충동에 사로잡혀서	どうしようもない衝動に駆られて	도오시요오모 나이 쇼오도오니 카라레테
32	182.883		봐, 정신 차리고 보면 손을 잡고 있잖아	ほら気付けば手を握っている	호라 키즈케바 테오 니깃테이루
33	186.359		가만 둘 수 없어	ほっておけない	홋테오케나이
34	187.893		그렇게 짐을 짊어지고 어디를 가려는 거야	そんなに荷物を背負い込んでどこへ行くの	손나니 니모츠오 쇼오이콘데 도코에 유쿠노
35	193.071		아주 조금만 나한테 맡겨보는 건 어때?	ほんのちょっと僕にちょっと預けてみては?	혼노 춋토 보쿠니 춋토 아즈케테 미테와?
36	200.024	207.903	이런 나라도 너의 히어로가 되고 싶어	こんな僕も君のヒーローになりたいのさ	콘나 보쿠모 키미노 히로오니 나리타이노사
