index	start_time	end_time	korean	original	prompt
0	0.212		밤의 틈새를 가르듯이	夜の合間を縫うように	요루노 아이마오 누우요-니
1	5.319		달리는 전차 안에서 흔들리며	走る電車の中ゆらり	하시루 덴샤노 나카 유라리
2	10.199		뒤쪽으로 흘러가는 풍경을 홀로	後ろ向きに流れる景色をひとり	우시로무키니 나가레루 케시키오 히토리
3	16.308		앉아서 보고 있었어, 보고 있었어	座って 見ていた 見ていた	스왓테 미테이타 미테이타
4	19.813		한낮의 햇볕은	昼下がりの陽射しは	히루사가리노 히자시와
5	21.498		석양의 오렌지 색에 물들고	夕陽のオレンジ色に染まって	유우히노 오렌지이로니 소맛테
6	25.468		쪽빛 하늘에 짓눌려 부서져가	藍色の空に押し潰されていく	아이이로노 소라니 오시츠부사레테이쿠
7	29.713		그 마지막 빛을 아쉬워하는 것처럼	その最後の光を惜しむように	소노 사이고노 히카리오 오시무요-니
8	32.596		눈으로 좇은 이유는	目で追いかけたのは	메데 오이카케타노와
9	35.754	40.465	오늘로 바이바이니까	今日で バイバイ だから	쿄-데 바이바이 다카라
10	44.654		내일을 버리기 위해 뛰쳐나온 도피행	明日を捨てる為に飛び出した逃避行	아시타오 스테루 타메니 토비다시타 토-히코-
11	49.352		편도권 표로 갈 수 있는 끝까지 갈 거야	片道分の切符で行けるとこまで行くの	카타미치분노 킷푸데 이케루 토코마데 이쿠노
12	54.271		어디에도 있을 곳 따위 없는 나를 이대로	どこにも居場所なんて無い私をこのまま	도코니모 이바쇼난테 나이 와타시오 코노마마
13	58.32	64.057	이 밤에 두고 가줘, 두고 가줘	夜に置いてって 置いてって	요루니 오이텟테 오이텟테
14	71.334		문득 창 밖으로 보이던 풍경이 어둠 속에	不意に窓から見えた景色が暗闇に	후이니 마도카라 미에타 케시키가 쿠라야미니
15	74.29		깨달았어, 저건 그래, 분명 밤바다겠네	気付いたあれはそうだきっと夜の海	키즈이타 아레와 소-다 킷토 요루노 우미
16	76.777		충동에 이끌려 내린 바닷가 동네	出来心に手を引かれて降りた海辺の町	데키코코로니 테오 히카레테 오리타 우미베노 마치
17	80.447		파도 소리에 그저 이끌리듯 걸어가	波の音にただ導かれるように歩く	나미노 오토니 타다 미치비카레루요-니 아루쿠
18	84.145		누군가가 부르고 있는 것처럼	誰かに呼ばれるように	다레카니 요바레루요-니
19	85.692		가까워진 바닷가 언저리에	近付いた海のほとり	치카즈이타 우미노 호토리
20	87.624		여기에는 나 혼자	ここにはひとり	코코니와 히토리
21	89.106		그럼 이대로 차라리 몸을 여기에	もうこのままいっそ体をここに	모- 코노마마 잇소 카라다오 코코니
22	91.402		그런 생각이나 하던 내 앞에	なんて考えていた私の前に	난테 칸가에테이타 와타시노 마에니
23	93.892		갑작스레 나타난 너는	突然現れた君は	토츠젠 아라와레타 키미와
24	95.608		달빛 아래	月明かりの下	츠키아카리노 시타
25	97.285		창백한 피부	青白い肌	아오시로이 하다
26	98.539		새하얀 원피스	白のワンピース	시로노 완피-스
27	101.414		“이런 데서 뭐 하고 있는 거야?”	「こんなとこで何しているの？」	콘나 토코데 나니 시테이루노
28	103.865		갑작스레 그렇게 물어와서	なんて急に尋ねるから	난테 큐-니 타즈네루카라
29	105.986		말문이 막힌 채로	言葉に詰まりながら	코토바니 츠마리나가라
30	107.754		“바다를 보러”	「海を、見に」	우미오 미니
31	110.561		너는 무언가를 꺼냈어	君は何かを取り出した	키미와 나니카오 토리다시타
32	115.307		그건 조금 낡은 불꽃놀이 세트	それは少し古い花火セット	소레와 스코시 후루이 하나비 셋토
33	120.476		그때 깨달았어	そこで気付いた	소코데 키즈이타
34	122.935		그녀는 콘크리트 위에서도	彼女はコンクリートの上	카노죠와 콘쿠리-토노 우에
35	127.025		맨발이었다고	裸足だった	하다시닷타
36	130.217		오늘로 전부 끝내기로 정했으니까	今日で全部終わりにすると決めたから	쿄-데 젠부 오와리니 스루토 키메타카라
37	135.031		분명 내가 저세상에 다가왔으니까	きっと私があの世界に近付いたから	킷토 와타시가 아노 세카이니 치카즈이타카라
38	139.923		보아 버린 거야, 만나 버린 거야	視えてしまった出会ってしまった	미에테시맛타 데앗테시맛타
39	142.501		그런 너와 둘이서	そんな君と二人で	손나 키미토 후타리데
40	146.185	151.099	불꽃놀이의 포장을 뜯었어	花火の封を切った	하나비노 후우오 킷타
41	153.865		좀처럼 붙지 않는 불꽃놀이에 불을 가져다 대며	なかなか点かない花火に火を近付けながら	나카나카 츠카나이 하나비니 히오 치카즈케나가라
42	159.6		내가 여기에 온 이유를 너는 알아맞혀 보였어	私がここに来た理由を君は当ててみせた	와타시가 코코니 키타 리유우오 키미와 아테테미세타
43	164.484		그리고 몇 번이나 그만두라며	そして何度もやめなよって	소시테 난도모 야메나욧테
44	166.763		진지한 눈빛으로 말했어	真剣な眼差しで言った	신켄나 마나자시데 잇타
45	172.14		그치만…	だけど…	다케도…
46	173.079		그 순간 이 손끝에서 빛이 터졌어	その瞬間この手の先で光が弾けた	소노 슌칸 코노 테노 사키데 히카리가 하지케타
47	178.005		무심코 “붙었다!”고 둘이 함께 외쳤어	思わず「点いた！」と二人で揃えて叫んでた	오모와즈 츠이타토 후타리데 소로에테 사켄데타
48	182.851		이래도 될까 싶을 정도로 밝게 빛나는 불꽃놀이의	これでもかと輝く火花の	코레데모카토 카가야쿠 히바나노
49	185.909		날카로운 소리가 울렸어, 울렸어	鋭い音が響いた 響いた	스루도이 오토가 히비이타 히비이타
50	191.778		느긋하게 바라볼 틈도 없이 사라져가는 빛이	ゆっくり眺める暇もなく消えていく輝きを	윳쿠리 나가메루 히마모 나쿠 키에테이쿠 카가야키오
51	197.501		아까워서 마지막 한 순간까지 좇았어	もったいなくて最後の一瞬まで追いかけた	못타이나쿠테 사이고노 잇슌마데 오이카케타
52	202.311		전차의 창으로 보였던	電車の窓から見えた	덴샤노 마도카라 미에타
53	204.045		마지막 태양빛을 아쉬워했던 것처럼	最後の太陽を惜しんだように	사이고노 타이요-오 오신다요-니
54	209.847		좇았어	追いかけた	오이카케타
55	212.281		역시 나는	やっぱり 私	얏파리 와타시
56	216.838	222.881	있잖아, 이 밤이 지나면 너는	ねえ, 夜が明けたら君は	네에 요루가 아케타라 키미와
57	225.764	231.567	어디론가 사라져버리는 걸까	どこかへ消えてしまうのかな	도코카에 키에테시마우노카나
58	235.579		밤의 장막을 젖히고 나가	夜の帳を抜け出して	요루노 토바리오 누케다시테
59	240.365		아침의 빛에 눈을 떴어	朝の光で目が覚めた	아사노 히카리데 메가 사메타
60	245.301		곁을 보니 당연하다는 듯이 잠들어 있는	隣を見ると当たり前のように眠る	토나리오 미루토 아타리마에노요-니 네무루
61	251.56	254.171	네 모습	君の姿	키미노 스가타
