index	start_time	end_time	korean	original	prompt
0	0.2		조용히 소문의 그 아이에게 푹 빠져	ひっそりウワサのあの子にぞっこん	힛소리 우와사노 아노코니 족콘
1	3.459		몰래 가슴이 두근두근, 마음은 새빨개져	こっそりざわざわ　心は真っ赤んなって	콧소리 자와자와 코코로와 맛캉난테
2	7.494		좋아하게 되고, 사랑하게 되고	恋になって　愛になって	코이니 낫테 아이니 낫테
3	12.206		모두가 모르는 그 아이의 본모습	みんなは知らないあの子の正体	민나와 시라나이 아노코노 쇼타이
4	18.604		키스하는 버릇까지 난 줄곧 알고 있어	接吻の癖だって知ってるずっと	셋분노 쿠세닷테 싯떼루 즛토
5	24.675		그렇게 튀는 타입도 아닌데	そんなに目立ったタイプじゃないのに	손나니 메닷타 타입쟈나이노니
6	30.591		서서히 들켜서 이제는 인기쟁이가 됐어?	じわじわバレちゃって今じゃ人気者？	지와지와 바레챳테 이먀쟈 닌키모노?
7	37.76		「나만의 ‘그 아이’로 있어 줘」	「私だけの“あの子”でいて」	와타시다케노 아노코데이테
8	40.646		그런 말을 할 순 없어 싫어	だなんて言えるわけないや 嫌	다난테 이에루 와케나이야 이야
9	46.001		아아 싫어 싫어	あゝ嫌々	아아 이야이야
10	50.124		반 전체가 네 이야기로 가득해	クラス中が君の話題で持ちきり	쿠라스쥬우가 키미노 와다이데 모치키리
11	55.859		조용히 소문의 그 아이에게 푹 빠져	ひっそりウワサのあの子にぞっこん	힛소리 우와사노 아노코니 족콘
12	58.857		몰래 가슴이 두근두근, 마음은 새빨개져	こっそりざわざわ　心は真っ赤んなって	콧소리 자와자와 코코로와 맛캉난테
13	62.85		좋아하게 되고, 사랑하게 되고	恋になって　愛になって	코이니 낫테 아이니 낫테
14	67.999		살며시 은밀히 그 아이와 가까워지고	ひっそり内緒であの子と発展	힛소리 나이쇼데 아노코토 핫텐
15	71.019		인생이 무너지고, 온몸이 새빨개져	人生崩壊　随まで真っ赫んなって	진세이 호카이 즈이마데 맛캉난테
16	75.028		좋아하게 되고, 바보 같네	恋になって　馬鹿みたいね	코이니 낫테 바카미타이네
17	79.644		바보 같네 바보 같네	馬鹿みたいね 馬鹿みたいね	바카미타이네 바카미타이네
18	86.23		금단의 과일을 베어 물며 사춘기를	禁断の果実齧って思春期	킨단노 카지츠 카짓테 시슌키
19	92.278		영원하지 않으니까 마취 같은 거네	永遠じゃないから麻酔なのね	에이엔쟈나이카라 마스이 나노네
20	98.341		조용히 소문의 그 아이에게 푹 빠져	ひっそりウワサのあの子にぞっこん	힛소리 우와사노 아노코니 족콘
21	101.388		천천히 흩날리며, 꽃잎은 새빨개져	ゆっくりはらりら　花弁真っ赤んなって	윳쿠리 하라리라 카벤 맛캉난테
22	105.416		좋아하게 되고, 슬퍼지게 되고	恋になって　哀になって	코이니 낫테 아이니 낫테
23	110.607		처음 너를 본 순간	初めて君を見た瞬間	하지메테 키미오 미타 슌칸
24	110.607		내 인생이 미쳐가기 시작했어	私の人生は狂い出した	와타시노 진세이와 쿠루이다시타
25	118.881		아아 싫어 싫어	あゝ嫌々	아아 이야이야
26	123.051		다른 누구도 평생 사랑하지 말아 줘	他の誰も一生愛さないでいて	호카노 다레모 잇쇼우 아이사나이데이테
27	128.841		조용히 소문의 그 아이에게 푹 빠져	ひっそりウワサのあの子にぞっこん	힛소리 우와사노 아노코니 족콘
28	131.788		사랑에 빠지면 어머나, 이미 수습 불가, 새빨개져	惚れたらあらあら　手遅れ真っ赤んなって	호레타라 아라아라 테오쿠레 맛캉난테
29	135.863		얽혀 버려서, 사랑이 돼	縺れちゃって　愛になって	모츠레챳테 아이니 낫테
30	140.941		가속, 가속, 흔들리는 사랑의 마음	加速　加速　揺れる恋心	카소쿠 카소쿠 유레루 코이고코로
31	144.045		조급해, 조급해, 만지지 마	焦る　焦る　触らないで	아세루 아세루 사와라나이데
32	147.059	153.061	너와 나 이외엔 모두 사라져 버리면 좋겠어	君と私以外 みんないなくなればいいのにな	키미토 와타시 이가이 민나 이나쿠나레바 이이노니나
33	156.133		조용히 소문의 그 아이에게 푹 빠져	ひっそりウワサのあの子にぞっこん	힛소리 우와사노 아노코니 족콘
34	159.122		몰래 가슴이 두근두근, 마음은 새빨개져	こっそりざわざわ　心は真っ赤んなって	콧소리 자와자와 코코로와 맛캉난테
35	163.206		좋아하게 되고, 사랑하게 되고	恋になって　愛になって	코이니 낫테 아이니 낫테
36	166.804		조용히 소문의	ひっそりウワサの	힛소리 우와사노 (x2)
37	169.899		조용히 소문의 그 아이와 발전해	ひっそりウワサのあの子と発展	힛소리 우와사노 아노코토 핫텐
38	172.813		인생이 무너지고, 온몸이 파란빛으로 물들어	人生崩壊　随まで青に染まって	진세이 호카이 즈이마데 아오니 소맛테
39	176.491		우울해져, 바보 같네	憂鬱になって　馬鹿みたいね	유우우츠니 낫테 바카미타이네
40	181.425	186.554	바보 같네 바보 같네	馬鹿みたいね 馬鹿みたいね	바카미타이네 바카미타이네
